Key,Source,Context,Changes,English
vehicleChaosBike,vehicles,vehicle,new,Chaos Motorbike,,,,,
vehicleChaosBikeplaceable,vehicles,item,EnChanged,Chaos Motorbike,,,,,
vehicleChaosBikeplaceableDesc,vehicles,item,EnChanged,Why walk with the dead when you can ride!,,,,,
vehicleChaosBikeBaseChassis,items,Part,EnChanged,Chaos Chassis base,,,,,
vehicleChaosBikeBaseChassisDesc,items,Part,EnChanged,The beginning of something...awesome!,,,,,
vehicleChaosBikeCompleteChassis,items,Part,EnChanged,Chaos Completed Chassis,,,,,
vehicleChaosBikeCompleteChassisDesc,items,Part,EnChanged, Nearly there !,,,,,
vehicleChaosBikebars,items,Part,EnChanged,Chaos HandlebarAssy,,,,,
vehicleChaosBikebarsDesc,items,Part,EnChanged,You might need these.,,,,,
vehicleChaosBikeSeat,items,Part,EnChanged,Chaos BikeSeat,,,,,
vehicleChaosBikeSeatDesc,items,Part,EnChanged,Ride in Comfort.,,,,,
vehicleChaosBikeEngine,items,Part,EnChanged,Chaos BikeEngine,,,,,
vehicleChaosBikeEngineDesc,items,Part,EnChanged, For that extra power.,,,,,
